data_coleta,titulo,resumo,instituicao,nivel,area,vagas,inscricoes_inicio,inscricoes_fim,url,status,data_publicacao,fonte
2026-09-01T08:05:37.318535Z,Edital nº 01 - Processo Seletivo Aluno Especial Doutorado 2026.2 - DOUTORADO EM ESTATÍSTICA E CIÊNCIAS DE DADOS,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: DOUTORADO EM ESTATÍSTICA E CIÊNCIAS DE DADOS. Vagas ofertadas: 5. Período de inscrições de 15/06/2026 a 10/07/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Doutorado - Aluno Especial,Engenharias e Exatas,5,2026-06-15T12:00:00Z,2026-07-10T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-15T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,Edital nº 01 - Processo Seletivo Aluno Especial Mestrado 2026.2 - MESTRADO EM ESTATÍSTICA E CIÊNCIAS DE DADOS,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM ESTATÍSTICA E CIÊNCIAS DE DADOS. Vagas ofertadas: 13. Período de inscrições de 15/06/2026 a 10/07/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Engenharias e Exatas,13,2026-06-15T12:00:00Z,2026-07-10T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-15T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,EDITAL DE ALUNO ESPECIAL 2026.2 DOUTORADO - DOUTORADO EM ARQUITETURA E URBANISMO,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: DOUTORADO EM ARQUITETURA E URBANISMO. Vagas ofertadas: 50. Período de inscrições de 12/06/2026 a 18/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Doutorado - Aluno Especial,Engenharias e Exatas,50,2026-06-12T12:00:00Z,2026-06-18T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-12T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,EDITAL DE ALUNO ESPECIAL 2026.2 MESTRADO - MESTRADO EM ARQUITETURA E URBANISMO,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM ARQUITETURA E URBANISMO. Vagas ofertadas: 50. Período de inscrições de 12/06/2026 a 18/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Engenharias e Exatas,50,2026-06-12T12:00:00Z,2026-06-18T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-12T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,PROCESSO SELETIVO IC-PGCOMP DOUTORADO PARA ALUNO ESPECIAL 2026.2 - DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: DOUTORADO EM CIÊNCIA DA COMPUTAÇÃO. Vagas ofertadas: 30. Período de inscrições de 12/06/2026 a 19/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Doutorado - Aluno Especial,Tecnologia e Informática,30,2026-06-12T12:00:00Z,2026-06-19T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-12T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,PROCESSO SELETIVO IC-PGCOMP MESTRADO PARA ALUNO ESPECIAL 2026.2 - MESTRADO EM CIÊNCIA DA COMPUTAÇÃO,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM CIÊNCIA DA COMPUTAÇÃO. Vagas ofertadas: 70. Período de inscrições de 12/06/2026 a 19/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Tecnologia e Informática,70,2026-06-12T12:00:00Z,2026-06-19T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-12T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,EDITAL nº 02/2026 - SELEÇÃO PARA ALUNO ESPECIAL - SEMESTRE LETIVO 2026.2 - MESTRADO EM EDUCAÇÃO,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM EDUCAÇÃO. Vagas ofertadas: 102. Período de inscrições de 09/06/2026 a 12/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Educação,102,2026-06-09T12:00:00Z,2026-06-12T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-09T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,PROCESSO SELETIVO PARA INGRESSO DE ALUNO ESPECIAL DOUTORADO- PGENF 2026.2 - DOUTORADO EM ENFERMAGEM E SAÚDE,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: DOUTORADO EM ENFERMAGEM E SAÚDE. Vagas ofertadas: 30. Período de inscrições de 09/06/2026 a 15/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Doutorado - Aluno Especial,Saúde e Biológicas,30,2026-06-09T12:00:00Z,2026-06-15T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-09T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,PROCESSO SELETIVO PARA INGRESSO DE ALUNO ESPECIAL MESTRADO- PGENF 2026.2 - MESTRADO EM ENFERMAGEM E SAÚDE,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM ENFERMAGEM E SAÚDE. Vagas ofertadas: 60. Período de inscrições de 09/06/2026 a 15/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Saúde e Biológicas,60,2026-06-09T12:00:00Z,2026-06-15T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-09T12:00:00Z,UFBA SIGAA
2026-09-01T08:05:37.318535Z,SELEÇÃO DE ALUNO/A ESPECIAL DO PPGCS - 2026.2 - MESTRADO EM CIÊNCIAS SOCIAIS,Inscrições abertas para o processo seletivo da UFBA de ingresso no curso: MESTRADO EM CIÊNCIAS SOCIAIS. Vagas ofertadas: 45. Período de inscrições de 05/06/2026 a 12/06/2026. Consulte o edital completo no portal oficial da instituição.,UFBA,Mestrado - Aluno Especial,Saúde e Biológicas,45,2026-06-05T12:00:00Z,2026-06-12T12:00:00Z,https://sigaa.ufba.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-processo&nivel=S,Encerrado,2026-06-05T12:00:00Z,UFBA SIGAA
